runid,recall,precision,f-score
txt.301_ROUGE-4,0.00231,0.00274,0.00251
txt.302_ROUGE-4,0.00231,0.00258,0.00243
txt.303_ROUGE-4,0.00289,0.00336,0.0031
txt.304_ROUGE-4,0.00319,0.00331,0.00324
txt.305_ROUGE-4,0.00321,0.00388,0.00351
txt.306_ROUGE-4,0.00271,0.00296,0.00282
txt.307_ROUGE-4,0.00227,0.00223,0.00225
txt.308_ROUGE-4,0.00379,0.00435,0.00404
txt.309_ROUGE-4,0.00255,0.00267,0.00261
txt.30_ROUGE-4,0.00252,0.00507,0.00329
txt.310_ROUGE-4,0.00211,0.00228,0.00219
txt.311_ROUGE-4,0.00378,0.00388,0.00383
txt.312_ROUGE-4,0.00239,0.0025,0.00243
txt.313_ROUGE-4,0.0035,0.00373,0.0036
txt.314_ROUGE-4,0.0027,0,0
txt.315_ROUGE-4,0.00424,0.00435,0.00429
txt.316_ROUGE-4,0.00484,0.00559,0.00513
txt.317_ROUGE-4,0.00407,0.00439,0.0042
txt.318_ROUGE-4,0.00501,0.00563,0.00527
txt.319_ROUGE-4,0.005,0.0057,0.00528
txt.31_ROUGE-4,0.00265,0.00499,0.0034
txt.320_ROUGE-4,0.00324,0.00348,0.00334
txt.321_ROUGE-4,0.005,0.00546,0.00518
txt.322_ROUGE-4,0.0071,0.0077,0.00735
txt.323_ROUGE-4,0.00469,0.00495,0.0048
txt.324_ROUGE-4,0.005,0.00534,0.00516
txt.325_ROUGE-4,0.00339,0.00405,0.00368
txt.326_ROUGE-4,0.00482,0.00521,0.00501
txt.327_ROUGE-4,0.00173,0.00178,0.00175
txt.328_ROUGE-4,0.00482,0.00507,0.00494
txt.329_ROUGE-4,0.00364,0.00394,0.00378
txt.32_ROUGE-4,0.00249,0.00457,0.0032
txt.330_ROUGE-4,0.00329,0.00348,0.00338
txt.331_ROUGE-4,0.00547,0.00592,0.00568
txt.332_ROUGE-4,0.00364,0.00388,0.00374
txt.333_ROUGE-4,0.004,0.00434,0.00417
txt.334_ROUGE-4,0.00475,0.00529,0.00498
txt.335_ROUGE-4,0.00418,0.00461,0.00438
txt.336_ROUGE-4,0.00409,0.00467,0.00433
txt.337_ROUGE-4,0.00538,0.00552,0.00544
txt.338_ROUGE-4,0.0017,0.00202,0.00184
txt.339_ROUGE-4,0.00117,0.00156,0.00133
txt.33_ROUGE-4,0.00458,0.00757,0.00565
txt.340_ROUGE-4,0.00463,0.00488,0.00475
txt.341_ROUGE-4,0.00117,0.00146,0.0013
txt.342_ROUGE-4,0.00445,0.00487,0.00463
txt.343_ROUGE-4,0.00117,0.00123,0.0012
txt.344_ROUGE-4,0.00506,0.00528,0.00517
txt.345_ROUGE-4,0.00231,0.00253,0.00241
txt.346_ROUGE-4,0.00372,0.00382,0.00376
txt.347_ROUGE-4,0.00189,0.00189,0.00189
txt.348_ROUGE-4,0.00372,0.00393,0.00381
txt.349_ROUGE-4,0.00043,0.00041,0.00042
txt.34_ROUGE-4,0.00338,0.00719,0.00456
txt.350_ROUGE-4,0.00318,0.00334,0.00325
txt.351_ROUGE-4,0.00243,0.0027,0.00256
txt.352_ROUGE-4,0.00189,0.00199,0.00194
txt.353_ROUGE-4,0.00372,0.00393,0.00381
txt.354_ROUGE-4,0.00318,0.00341,0.00328
txt.355_ROUGE-4,0.00115,0.00117,0.00116
txt.356_ROUGE-4,0.00378,0.00452,0.00408
txt.357_ROUGE-4,0.00342,0.00429,0.00375
txt.358_ROUGE-4,0.00306,0.00428,0.00352
txt.359_ROUGE-4,0.00488,0.00532,0.00507
txt.35_ROUGE-4,0.00202,0.00381,0.00261
txt.360_ROUGE-4,0.00306,0.00367,0.00332
txt.361_ROUGE-4,0.00434,0.00502,0.00461
txt.362_ROUGE-4,0.00474,0.00527,0.00497
txt.363_ROUGE-4,0.00417,0.00486,0.00447
txt.364_ROUGE-4,0.00506,0.00587,0.0054
txt.365_ROUGE-4,0.00386,0.00447,0.00414
txt.366_ROUGE-4,0.00197,0.00219,0.00207
txt.367_ROUGE-4,0.00128,0.00137,0.00132
txt.368_ROUGE-4,0.00105,0.00117,0.00111
txt.369_ROUGE-4,0.00084,0.00098,0.00091
txt.36_ROUGE-4,0.00217,0.0038,0.00273
txt.370_ROUGE-4,0.00174,0.00169,0.00172
txt.371_ROUGE-4,0.00255,0.00254,0.00254
txt.372_ROUGE-4,0.00362,0.00355,0.00359
txt.373_ROUGE-4,0.00189,0.00197,0.00193
txt.374_ROUGE-4,0.00209,0.00208,0.00208
txt.375_ROUGE-4,0.00304,0.0032,0.00311
txt.376_ROUGE-4,0.00304,0.0031,0.00307
txt.377_ROUGE-4,0.00461,0.00467,0.00464
txt.378_ROUGE-4,0.00205,0.00206,0.00205
txt.379_ROUGE-4,0.00432,0.00469,0.0045
txt.37_ROUGE-4,0.00442,0.00667,0.00526
txt.380_ROUGE-4,0.00457,0.00472,0.00464
txt.381_ROUGE-4,0,0,0
txt.382_ROUGE-4,0.00457,0.00474,0.00465
txt.383_ROUGE-4,0.00457,0.00475,0.00466
txt.384_ROUGE-4,0.00461,0.00478,0.00469
txt.385_ROUGE-4,0.00205,0.0024,0.00221
txt.386_ROUGE-4,0.00517,0.00551,0.00532
txt.387_ROUGE-4,0.00341,0.00347,0.00344
txt.388_ROUGE-4,0.00313,0.00336,0.00324
txt.389_ROUGE-4,0.00433,0.00441,0.00436
txt.38_ROUGE-4,0.00318,0.00654,0.00425
txt.390_ROUGE-4,0.00455,0.00488,0.00471
txt.391_ROUGE-4,0.00427,0.00442,0.00434
txt.392_ROUGE-4,0.00658,0.00669,0.00662
txt.393_ROUGE-4,0.00315,0.00312,0.00313
txt.394_ROUGE-4,0.00398,0.00415,0.00406
txt.395_ROUGE-4,0.00144,0.00153,0.00148
txt.396_ROUGE-4,0.00255,0.00273,0.00263
txt.397_ROUGE-4,0.00286,0.00301,0.00293
txt.398_ROUGE-4,0.00255,0.00268,0.00261
txt.399_ROUGE-4,0.0016,0.00174,0.00166
txt.39_ROUGE-4,0.00231,0.00421,0.00296
txt.3_ROUGE-4,0.00411,0.00759,0.00526
txt.400_ROUGE-4,0.00445,0.00455,0.0045
txt.401_ROUGE-4,0.0016,0.00161,0.0016
txt.402_ROUGE-4,0.00192,0.00204,0.00198
txt.403_ROUGE-4,0.00383,0.00395,0.00389
txt.404_ROUGE-4,0.00509,0.0056,0.00534
txt.405_ROUGE-4,0.00736,0.00788,0.0076
txt.406_ROUGE-4,0.00478,0,0
txt.407_ROUGE-4,0.00383,0.00412,0.00397
txt.408_ROUGE-4,0.00704,0.00727,0.00715
txt.409_ROUGE-4,0.00363,0.00395,0.00378
txt.40_ROUGE-4,0.00451,0.00703,0.00546
txt.410_ROUGE-4,0.00586,0.00646,0.00614
txt.411_ROUGE-4,0.0022,0.00244,0.00231
txt.412_ROUGE-4,0.00479,0.00493,0.00486
txt.413_ROUGE-4,0.00402,0.00423,0.00411
txt.414_ROUGE-4,0.00545,0.00565,0.00555
txt.415_ROUGE-4,0.00688,0.00729,0.00707
txt.416_ROUGE-4,0.0034,0.00364,0.00351
txt.417_ROUGE-4,0.00522,0.00522,0.00522
txt.418_ROUGE-4,0.00646,0.00682,0.00662
txt.419_ROUGE-4,0.00382,0.00415,0.00397
txt.41_ROUGE-4,0.00332,0.00632,0.00433
txt.420_ROUGE-4,0.01081,0.01225,0.01146
txt.421_ROUGE-4,0.00562,0.00579,0.0057
txt.422_ROUGE-4,0.00763,0.00863,0.00809
txt.423_ROUGE-4,0.00713,0.00842,0.00772
txt.424_ROUGE-4,0.01282,0.01297,0.01289
txt.425_ROUGE-4,0.00713,0.00761,0.00736
txt.426_ROUGE-4,0.00931,0.01005,0.00965
txt.427_ROUGE-4,0.00713,0.00738,0.00724
txt.428_ROUGE-4,0.01131,0.01159,0.01145
txt.429_ROUGE-4,0.00777,0.00811,0.00793
txt.42_ROUGE-4,0.00461,0.00689,0.00543
txt.430_ROUGE-4,0.00258,0.00306,0.0028
txt.431_ROUGE-4,0.00827,0.00874,0.00848
txt.432_ROUGE-4,0.00777,0.00831,0.00803
txt.433_ROUGE-4,0.00627,0.00619,0.00623
txt.434_ROUGE-4,0.00459,0.00509,0.00483
txt.435_ROUGE-4,0.00777,0.00821,0.00797
txt.436_ROUGE-4,0.00627,0.00632,0.00629
txt.437_ROUGE-4,0.00206,0.00238,0.00221
txt.438_ROUGE-4,0.00206,0.00236,0.00219
txt.439_ROUGE-4,0.00878,0.00919,0.00897
txt.43_ROUGE-4,0.00374,0.00723,0.00483
txt.440_ROUGE-4,0.00631,0.0066,0.00645
txt.441_ROUGE-4,0.0082,0.00897,0.00855
txt.442_ROUGE-4,0.0109,0.01084,0.01086
txt.443_ROUGE-4,0.00631,0.0067,0.0065
txt.444_ROUGE-4,0.00443,0.00477,0.00459
txt.445_ROUGE-4,0.00592,0.00623,0.00607
txt.446_ROUGE-4,0.00512,0.00585,0.00545
txt.447_ROUGE-4,0.00512,0.00576,0.00541
txt.448_ROUGE-4,0.00512,0.00543,0.00527
txt.449_ROUGE-4,0.00512,0.0055,0.00529
txt.44_ROUGE-4,0.00562,0.00892,0.00683
txt.450_ROUGE-4,0.00512,0.0054,0.00526
txt.451_ROUGE-4,0.0127,0.01488,0.0137
txt.452_ROUGE-4,0.0127,0.01537,0.01387
txt.453_ROUGE-4,0.0127,0.01639,0.01429
txt.454_ROUGE-4,0.0127,0.01344,0.01305
txt.455_ROUGE-4,0.0127,0.01425,0.01342
txt.456_ROUGE-4,0.0127,0.01474,0.01363
txt.457_ROUGE-4,0.0127,0.01365,0.01315
txt.458_ROUGE-4,0.0127,0.01369,0.01316
txt.459_ROUGE-4,0.0127,0.01471,0.01363
txt.45_ROUGE-4,0.00594,0.00758,0.00662
txt.460_ROUGE-4,0.0127,0.01268,0.01269
txt.461_ROUGE-4,0.00512,0.00589,0.00548
txt.462_ROUGE-4,0.00512,0.00586,0.00545
txt.463_ROUGE-4,0.00512,0.00611,0.00555
txt.464_ROUGE-4,0.00512,0.00544,0.00528
txt.465_ROUGE-4,0.00512,0.00565,0.00537
txt.466_ROUGE-4,0.01017,0.01144,0.01077
txt.467_ROUGE-4,0,0,0
txt.468_ROUGE-4,0.01017,0.01079,0.01046
txt.469_ROUGE-4,0.01017,0.01014,0.01016
txt.46_ROUGE-4,0.00642,0.00848,0.00724
txt.470_ROUGE-4,0.01017,0.0107,0.01042
txt.471_ROUGE-4,0.00259,0.00255,0.00257
txt.472_ROUGE-4,0.00259,0.0026,0.0026
txt.473_ROUGE-4,0.00259,0.00284,0.00271
txt.474_ROUGE-4,0,0,0
txt.475_ROUGE-4,0,0,0
txt.476_ROUGE-4,0.00758,0.00862,0.00807
txt.477_ROUGE-4,0.00758,0.00926,0.00834
txt.478_ROUGE-4,0.00758,0.00974,0.00852
txt.479_ROUGE-4,0.00758,0.00781,0.00769
txt.47_ROUGE-4,0.00577,0.00724,0.00638
txt.480_ROUGE-4,0.00758,0.00815,0.00785
txt.481_ROUGE-4,0.00758,0.00872,0.00811
txt.482_ROUGE-4,0.00758,0.00773,0.00765
txt.483_ROUGE-4,0.00758,0.00807,0.00781
txt.484_ROUGE-4,0.00758,0.00862,0.00807
txt.485_ROUGE-4,0.00758,0.00736,0.00746
txt.486_ROUGE-4,0,0,0
txt.488_ROUGE-4,0,0,0
txt.489_ROUGE-4,0,0,0
txt.48_ROUGE-4,0.005,0.00624,0.00551
txt.490_ROUGE-4,0,0,0
txt.491_ROUGE-4,0.00758,0.00789,0.00773
txt.492_ROUGE-4,0.00758,0.00842,0.00798
txt.493_ROUGE-4,0.00758,0.00882,0.00815
txt.494_ROUGE-4,0.00758,0.0075,0.00753
txt.495_ROUGE-4,0.00758,0.00798,0.00777
txt.496_ROUGE-4,0.00758,0.00743,0.0075
txt.497_ROUGE-4,0.00758,0.00789,0.00773
txt.498_ROUGE-4,0,0,0
txt.499_ROUGE-4,0,0,0
txt.49_ROUGE-4,0.0062,0.00767,0.0068
txt.4_ROUGE-4,0.00396,0.00697,0.00496
txt.500_ROUGE-4,0,0,0
txt.501_ROUGE-4,0,0,0
txt.502_ROUGE-4,0,0,0
txt.503_ROUGE-4,0.00758,0.00882,0.00815
txt.504_ROUGE-4,0.00758,0.00926,0
txt.505_ROUGE-4,0.00758,0.01,0.00862
txt.506_ROUGE-4,0.00758,0.00834,0.00793
txt.507_ROUGE-4,0.00758,0.00824,0.00789
txt.508_ROUGE-4,0,0,0
txt.509_ROUGE-4,0.0101,0.01,0.01005
txt.50_ROUGE-4,0.00537,0.00679,0.00596
txt.510_ROUGE-4,0.0101,0.01042,0.01025
txt.511_ROUGE-4,0.00253,0.00263,0.00257
txt.512_ROUGE-4,0.0101,0.01,0.01005
