=====   TOP 5   =====


config.gold.rouge.xml.0  =>  rouge.out.txt.0
ROUGE-2 D0826E-A.txt.113 0.10733

ROUGE-3 D0826E-A.txt.132 0.07143
ROUGE-3 D0826E-A.txt.96 0.05556
ROUGE-3 D0826E-A.txt.71 0.05556
ROUGE-3 D0826E-A.txt.40 0.05556
ROUGE-3 D0826E-A.txt.134 0.05556

ROUGE-4 D0826E-A.txt.132 0.04545
ROUGE-4 D0826E-A.txt.96 0.03476
ROUGE-4 D0826E-A.txt.71 0.03476
ROUGE-4 D0826E-A.txt.40 0.03476
ROUGE-4 D0826E-A.txt.134 0.03476


config.gold.rouge.xml.24  =>  rouge.out.txt.24

ROUGE-1 D0827E-A.txt.230 0.36434
ROUGE-1 D0827E-A.txt.215 0.36176
ROUGE-1 D0827E-A.txt.245 0.35917
ROUGE-1 D0827E-A.txt.229 0.35917
ROUGE-1 D0827E-A.txt.214 0.35917

ROUGE-2 D0827E-A.txt.231 0.10705
ROUGE-2 D0827E-A.txt.96 0.10444
ROUGE-2 D0827E-A.txt.47 0.10444
ROUGE-2 D0827E-A.txt.244 0.10444
ROUGE-2 D0827E-A.txt.230 0.10444

ROUGE-3 D0827E-A.txt.98 0.03958
ROUGE-3 D0827E-A.txt.97 0.03958
ROUGE-3 D0827E-A.txt.96 0.03958
ROUGE-3 D0827E-A.txt.95 0.03958
ROUGE-3 D0827E-A.txt.94 0.03958

ROUGE-4 D0827E-A.txt.98 0.02133
ROUGE-4 D0827E-A.txt.97 0.02133
ROUGE-4 D0827E-A.txt.96 0.02133
ROUGE-4 D0827E-A.txt.95 0.02133
ROUGE-4 D0827E-A.txt.94 0.02133


config.gold.rouge.xml.25  =>  rouge.out.txt.25

ROUGE-1 D0828E-A.txt.231 0.36111
ROUGE-1 D0828E-A.txt.169 0.35606
ROUGE-1 D0828E-A.txt.224 0.35101
ROUGE-1 D0828E-A.txt.228 0.34848
ROUGE-1 D0828E-A.txt.227 0.34596

ROUGE-2 D0828E-A.txt.231 0.10204
ROUGE-2 D0828E-A.txt.228 0.10204
ROUGE-2 D0828E-A.txt.92 0.09949
ROUGE-2 D0828E-A.txt.88 0.09949
ROUGE-2 D0828E-A.txt.169 0.09949

ROUGE-3 D0828E-A.txt.88 0.04381
ROUGE-3 D0828E-A.txt.228 0.04381
ROUGE-3 D0828E-A.txt.165 0.04381
ROUGE-3 D0828E-A.txt.92 0.03866
ROUGE-3 D0828E-A.txt.81 0.03866

ROUGE-4 D0828E-A.txt.88 0.02083
ROUGE-4 D0828E-A.txt.81 0.02083
ROUGE-4 D0828E-A.txt.228 0.02083
ROUGE-4 D0828E-A.txt.223 0.02083
ROUGE-4 D0828E-A.txt.165 0.02083


config.gold.rouge.xml.26  =>  rouge.out.txt.26

ROUGE-1 D0829F-A.txt.219 0.25823
ROUGE-1 D0829F-A.txt.377 0.25316
ROUGE-1 D0829F-A.txt.404 0.25063
ROUGE-1 D0829F-A.txt.386 0.25063
ROUGE-1 D0829F-A.txt.375 0.25063

ROUGE-2 D0829F-A.txt.375 0.03325
ROUGE-2 D0829F-A.txt.187 0.03325
ROUGE-2 D0829F-A.txt.174 0.03325
ROUGE-2 D0829F-A.txt.49 0.03069
ROUGE-2 D0829F-A.txt.377 0.03069

ROUGE-3 D0829F-A.txt.52 0.00517
ROUGE-3 D0829F-A.txt.51 0.00517
ROUGE-3 D0829F-A.txt.50 0.00517
ROUGE-3 D0829F-A.txt.49 0.00517
ROUGE-3 D0829F-A.txt.48 0.00517

ROUGE-4 D0829F-A.txt.9 0.00000
ROUGE-4 D0829F-A.txt.99 0.00000
ROUGE-4 D0829F-A.txt.98 0.00000
ROUGE-4 D0829F-A.txt.97 0.00000
ROUGE-4 D0829F-A.txt.96 0.00000


config.gold.rouge.xml.27  =>  rouge.out.txt.27

ROUGE-1 D0830F-A.txt.183 0.34826
ROUGE-1 D0830F-A.txt.207 0.34577
ROUGE-1 D0830F-A.txt.185 0.34577
